,0,1
Уфа,1062300,"Уфа (башк. Өфө [ʏ̞ˈfʏ̞]  слушать) — город в Российской Федерации, столица Республики Башкортостан, административный центр Уфимского района, в состав которого не входит. Город республиканского значения, образует муниципальное образование город Уфа со статусом городского округа."
Волгоград,1021244,"Волгоград — город на юго-востоке европейской части Российской Федерации с населением 1 013 533[4] человек (2018). Административный центр Волгоградской области. До 1925 года он носил название Царицын, с 1925 по 1961 год — Сталинград. Город-герой, важнейший пункт обороны Царицына и Сталинградской битвы. Образует городской округ город Волгоград."
Пермь,1000679,"Пермь (МФА: /pʲermʲ/[9]; местн. произн. /pʲerʲmʲ/[10]) — город на востоке европейской части России, в Предуралье, на берегах реки Камы, ниже впадения в неё реки Чусовой, административный центр Пермского края и Пермского района, транспортный узел на Транссибирской магистрали, речной порт, имеет статус города краевого значения и городского округа. Крупный многоотраслевой промышленный, научный, культурный и логистический центр Урала. Население — 1 051 583[4] чел. (2018)."
Красноярск,973826,"Красноярск (произношение (инф.)) — один из крупнейших городов России, культурный, экономический, промышленный[5] и образовательный центр Центральной и Восточной Сибири[6]. Административный центр Красноярского края (второго по площади субъекта Российской Федерации)[7] и городского округа город Красноярск. Центр Восточно-Сибирского экономического района."
Воронеж,889680,"Воронеж — город в России, административный центр Воронежской области. Расположен на берегах реки Воронеж, в 12 километрах от её впадения в Дон[3]; расстояние от Москвы — 463 км. Население города Воронежа по состоянию на 1 января 2018 года составляет 1 058 547 человек[4]. Вокруг Воронежа образовалась агломерация с численностью населения более 1,3 млн человек. Образует административно-территориальную единицу и муниципальное образование городской округ город Воронеж с единственным населённым пунктом в его составе[5][6]."
Саратов,836900,"Саратов — город на юго-востоке европейской части России, административный центр Саратовской области и Саратовского района, в который не входит, являясь городом областного значения, образует муниципальное образование город Саратов со статусом городского округа[2]. Крупный культурный, экономический и образовательный центр Поволжья. Входит в двадцатку крупнейших городов России, не будучи городом-миллионером, одновременно является центром Саратовской агломерации, население которой превышает 1,2 млн человек."
Краснодар,744933,"Краснодар (до 1920 года — Екатеринодар) — город на юге России, расположенный на правом берегу реки Кубани, на расстоянии 120 км от Чёрного моря (по автодороге от пос. Джубга), 140 километров от Азовского моря (по автодороге от ст. Голубицкой) и 1300 км к югу от Москвы (по автодороге М-4 «Дон»)[3]. 
Административный центр Краснодарского края. Образует городской округ муниципальное образование город Краснодар."
Тольятти,719484,"Тольятти (до 1964 года Ставрополь, от греч. Σταυρούπολη — букв.: Город креста, встречаются неофициальные названия: Ставрополь-на-Волге или Ставрополь-Волжский) — город в Самарской области России, административный центр Ставропольского района, в который не входит, являясь городом областного значения, образует муниципальное образование городской округ Тольятти с единственным населённым пунктом в его составе[3]. Входит в Самарско-Тольяттинскую агломерацию[4]."
Барнаул,635585,"Барнаул — город в России (с 1771 года), административный центр Алтайского края (с 1937 года) и одноимённого городского округа. Расположен на юге Западной Сибири в месте впадения реки Барнаулки в Обь."
Ижевск,628117,"Ижевск (удм. Иж, Иж кар[5]) — двадцатый по численности населения город Российской Федерации, крупный административный, промышленный, торговый, научно-образовательный и культурный центр Поволжья и Урала, столица Удмуртской Республики. Образует городской округ город Ижевск."
Ульяновск,613793,"Ульяновск (в 1648—1780 годах — Синбирск, в 1780—1924 годах — Симбирск) — город в европейской части России, административный центр Ульяновской области. Является городом областного значения[5], образует  муниципальное образование город Ульяновск со статусом городского округа[6]. Расположен на Приволжской возвышенности, на берегах рек Волги (Куйбышевское водохранилище) и Свияги, в месте сближения их русел[7]. Находится в 890 км к востоку / юго-востоку от Москвы."
Владивосток,592069,"Владивосток — город и порт на Дальнем Востоке России; политический, культурный и экономический центр региона; административный центр Приморского края и Владивостокского городского округа. Расположен на полуострове Муравьёва-Амурского и островах в заливе Петра Великого Японского моря."
Ярославль,591486,"Ярославль — город в России, административный центр Ярославской области. Население — 608 722[2] чел. (2018). Ярославль — третий по величине населения город Центрального федерального округа Российской Федерации. Город является транспортным узлом, из которого расходятся железнодорожные линии и автодороги в направлении Москвы, Вологды, Рыбинска, Костромы, Иванова и Кирова. В Ярославле действуют также речной порт и аэропорт. Площадь города составляет 205,8 км².[5]"
Иркутск,587225,"Иркутск — город в России, административный центр Иркутской области и Иркутского района, образует городской округ город Иркутск. Шестой по величине город Сибири с численностью населения 623 869[2] чел. (2018). В пределах Иркутской агломерации на 2016 год проживает 1,1 млн человек[3]."
Тюмень,581758,"Тюмень — город в России, административный центр Тюменской области и Тюменского района, в состав которого не входит. Образует городской округ город Тюмень[3][4]. Занимает 18 место среди городов России по численности населения."
Махачкала,577990,"Махачкала — город на юге России, на Кавказе, расположенный на берегу Каспийского моря. Столица Республики Дагестан. Третий по численности населения город Северо-Кавказского региона и крупнейший город Северо-Кавказского федерального округа. Образует городской округ город Махачкала. Является ядром почти миллионной Махачкалинско-Каспийской агломерации."
Хабаровск,577668,"Хабаровск — город (с 1880 года) в России, центр Дальневосточного федерального округа России и Хабаровского края. Один из крупнейших политических, образовательных и культурных центров Дальнего Востока России."
Оренбург,570329,Оренбург (с 1938 по 1957 год — Чкалов) — город в России. Административный центр Оренбургской области. Образует муниципальное образование город Оренбург со статусом городского округа.
Новокузнецк,547885,"Новокузнецк — город в Кемеровской области России, административный центр Новокузнецкого муниципального района, в который не входит и образует Новокузнецкий городской округ[5]. Первый по площади в Кузбассе и второй по населению[6], а также старейший город Кемеровской области."
Кемерово,532884,"Кемерово — город в России, административный центр Кемеровской области. В настоящее время занимает тридцатое место по численности населения и пятидесятое по площади среди городов России."
Рязань,525062,"Рязань (произношение (инф.)) (до 1778 года — Переяславль-Рязанский) — город в России, административный центр Рязанской области и Рязанского муниципального района. Является одним из крупнейших городов-полумиллионеров страны."
Томск,522940,"Томск — город в России, административный центр одноимённых области и района, расположенный на востоке Западной Сибири на берегу реки Томь."
Астрахань,520662,"Астрахань — город в России, административный центр Астраханской области. Старейший экономический и культурный центр Нижнего Поволжья и Прикаспия[5]. Входит в перечень исторических городов России[5]. Образует городской округ город Астрахань[6][7]. Центр Астраханской городской агломерации."
Пенза,519592,"Пенза — город (c 1663 года) на Приволжской возвышенности в центре европейской части России, административный, экономический и культурный центр Пензенской области (с 1939 года). Является городом областного значения, образует муниципальное образование городской округ город Пенза[6]."
Набережные Челны,513242,"Набережные Челны (тат. Яр Чаллы, Yar Çallı, с 19 ноября 1982 года[6] до 6 января 1988 года[7] — Брежнев) — крупный город в Республике Татарстан России."
Липецк,508124,"Липецк — город (с 1779[5]) в России, административный центр Липецкой области. Является ядром крупнейшей российской агломерации со специализацией в сфере чёрной металлургии полного цикла[6], промышленный, агротехнологический и авиационный центр, курорт. Население — 509 735 чел. (2018). Расстояние до Москвы 450 км, до Воронежа — 132 км."
Тула,501129,"Тула — город в России, административный центр Тульской области[9] и городского округа город Тула. Город-Герой (c 1976 года). Тула расположена на севере Среднерусской возвышенности на берегу реки Упы в 193 км к югу от Москвы. Протяжённость города с севера на юг — 30 км, с запада на восток — 25 км."
Киров,473668,"Киров (до 1451 и с 1780 по 1934 год — Вятка, с 1457 по 1780 год — Хлынов) — город в России, административный центр Кировской области и одноимённого муниципального образования со статусом городского округа[9]. Расположен на реке Вятке, в 896 км к северо-востоку от Москвы[7]."
Чебоксары,447929,"Чебоксары (чуваш. Шупашкар) — город в России, столица Чувашской Республики."
Улан-Удэ,431922,"Улан-Удэ (до 1934 года — Верхнеудинск, бур. Улаан Үдэ хото) — город республиканского подчинения в России, столица Республики Бурятия. Образует городской округ город Улан-Удэ."
Калининград,431491,"Калининград (до 4 июля 1946 года — Кёнигсберг (нем. Königsberg); до 1255 года — Твангсте) — российский город, который по решению Потсдамской конференции 1945 года вместе с северной частью немецкой провинции Восточная Пруссия был передан СССР[7]. Сегодня город Калининград — центр Калининградской области, являющийся самым  западным областным центром Российской Федерации. Расположен при впадении реки Преголи в Калининградский залив. Население — 475 056[2] чел. (2018). По утверждениям городских властей, к ним добавляется ещё от 120 до 180 тыс. жителей области и приезжих из других регионов страны, живущих и работающих в Калининграде относительно легальным образом[8]. Калининград — второй по численности населения (первый — Санкт-Петербург) город Северо-Западного федерального округа, третий (после Риги и Вильнюса) — Прибалтики и седьмой среди городов побережья Балтийского моря. Калининград входит в шестёрку основных центров внутреннего миграционного притяжения в России за последние два десятилетия[9]. Город является ядром быстрорастущей Калининградской агломерации с населением свыше 715 тыс. человек[10][11]."
Брянск,415640,"Брянск — город в Российской Федерации, административный центр Брянской области; город областного значения, образует муниципальное образование город Брянск со статусом городского округа."
Курск,414595,"Курск — город в России, административный центр Курской области, а также Курского района. В состав района не входит, являясь городом областного значения, образующим муниципальное образование город Курск со статусом городского округа[3]."
Иваново,409277,"Иваново (в 1871—1932 годах — Иваново-Вознесенск) — город (с 1871 года[3]) в России на берегу реки Уводь, административный центр Ивановской области[4], наделён статусом городского округа[5]. Население — 406 113[2] чел. (2018)."
Магнитогорск,408401,"Магнитогорск — второй по величине город (с 1931 г.) в Челябинской области. Один из крупнейших мировых центров чёрной металлургии[1]. Крупный культурный и деловой центр Южного Урала. Образует Магнитогорский городской округ. Шестой из числа крупнейших городов, не являющихся центрами субъектов федерации. Город трудовой доблести и славы (с 2015 года)."
Тверь,403726,"Тверь — (рус. прослушать (инф.)) город в России, административный центр Тверской области и Калининского района, в который не входит, являясь административно-территориальной единицей городом областного значения, образующим одноимённое муниципальное образование городской округ город Тверь."
Ставрополь,398266,"Ставрополь (от греч. σταυρός — «крест», πόλις — «город»[5]) — город[6], административный центр Ставропольского края Российской Федерации. Культурный, деловой и промышленный (машиностроение, приборостроение) центр края. Один из крупнейших городов Северного Кавказа и Северо-Кавказского федерального округа."
СевастопольОспаривается,393304,"Себеж — город (с 1772[2]) на юго-западе Псковской области России, административный центр муниципальных образований городское поселение Себеж, сельское поселение «Себежское» и Себежский район. Город внесён в Список исторических городов России."
Нижний Тагил,361883,"Нижний Тагил (Тагил — манс., букв. много воды) — город в Свердловской области России, административный центр городского округа город Нижний Тагил, который относится к Горнозаводскому управленческому округу. Железнодорожная станция Свердловской железной дороги. Город занимает второе место по численности населения в Свердловской области после Екатеринбурга."
Белгород,356426,"Белгород (историч. Белгород Русский) — город на юге средней полосы европейской части России, административный центр Белгородской области. Расположен на южной окраине Среднерусской возвышенности, на берегах Белгородского водохранилища, рек Везелки и Северский Донец, в 700 км к югу от Москвы, в 40 км от границы с Украиной. Образует муниципальное образование городской округ город Белгород. Население 391 554[2] человек (2018). Вокруг города образовалась Белгородская агломерация с численностью населения более 0,5 млн человек. Первый в России город, получивший звание «Город воинской славы»[4]."
Архангельск,348716,"Архангельск — город на севере европейской части России. Административный центр Архангельской области и Приморского муниципального района. Город областного значения, образует муниципальное образование город Архангельск со статусом городского округа."
Владимир,348256,"Владимир (др.-рус. Володимѣрь) — город в России, административный центр Владимирской области и городского округа город Владимир. В XII—XIV веках — столица Великого княжества Владимирского. Один из крупнейших туристических центров европейской части России. Входит в Золотое кольцо России."
Сочи,343285,"Сочи — город в России, расположен на северо-восточном побережье Чёрного моря (Черноморское побережье России) в Краснодарском крае, на расстоянии 1620 км от Москвы."
Курган,333640,"Курган (до 1738 года — Царёво Городище, до 1782 года — Курганская слобода) — город в Российской Федерации, административный центр Курганской области. Основан в 1679 году, но русское поселение на этом месте существовало с 1553 года. Расположен в Уральском федеральном округе, по берегам реки Тобол (преимущественно на левом берегу)."
СимферопольОспаривается,332317,Сим — город (с 13 ноября 1942 года) в Ашинском районе Челябинской области России. Административный центр Симского городского поселения. Население составляет 13 170[1] чел. (2017).
Смоленск,326863,"Смоленск — город на западе России, административный, промышленный и культурный центр Смоленской области. Это один из древнейших городов России (первое летописное упоминание относится к 863 году). С 6 мая 1985 года носит почётное звание «Город-герой», награждён орденом Ленина, орденом Отечественной войны I степени и медалью «Золотая Звезда»."
Калуга,325185,"Калуга — город в европейской части России, в Центральном федеральном округе, административный центр Калужской области. Расположен на берегах Оки и её притоков — Яченки, Калужки, Терепца, Киёвки, в 160 км к юго-западу от центра Москвы, в 80 км от новых границ Москвы"
Чита,323964,"Чита — город в Восточной Сибири, Российская Федерация. Административный центр Забайкальского края и Читинского района. Образует муниципальное образование городской округ город Чита как единственный населённый пункт в его составе.[3]"
Саранск,318841,"Саранск (мокш. Саранск ошсь, Саранскяйсь, эрз. Саран ош, эрз. Саранской[5]) — город в России, столица Республики Мордовия. Образует городской округ Саранск. Основан в 1641 году."
Орёл,317854,"Орёл — город (с 1566[3]) в России, административный центр Орловской области и Орловского района, в который сам не входит. Являясь городом областного значения, образует муниципальное образование городской округ город Орёл[4]. Расположен в 368 км к юго-западу от Москвы, на Среднерусской возвышенности в европейской части России, по обоим берегам реки Оки и её притока Орлика. Орёл и Орловская область входят в состав Центрального федерального округа, а также Центрального экономического района. Город воинской славы (почётное звание присвоено 27 апреля 2007 года)."
Волжский,314436,"Волжский — город областного значения в Волгоградской области России. Образует городской округ город Волжский. Один из крупнейших промышленных городов Нижнего Поволжья, второй по величине в области и 60-й в списке городов России. Население: 326 055[3] чел. (2017). Вместе с Волгоградом образует ядро Волгоградской агломерации, имеющей суммарное население 1,3—1,4 млн человек."
Череповец,312311,"Череповец — город в Вологодской области России, административный центр Череповецкого района, в который не входит, обладая статусом города областного значения и образуя городской округ. Расположен при впадении реки Ягорбы в реку Шексну (левый приток Волги), недалеко от Рыбинского водохранилища в 126 км западнее Вологды."
Владикавказ,311635,"Владикавказ (осет. Дзæуджыхъæу (инф.) — селение Дзауга) — город на юге России, в центральной части Северного Кавказа. Столица Республики Северная Осетия — Алания[4][5]. Образует городской округ город Владикавказ. В 2007 году Владикавказу присвоено почётное звание Город воинской славы."
Мурманск,307664,"Мурманск[3] (кильд. Мурман ланнҍ, в 1916—1917 годах — Романов-на-Мурмане) — город на северо-западе России, административный центр Мурманской области."
Сургут,306703,"Сургут — город в России, административный центр Сургутского района Ханты-Мансийского автономного округа — Югры."
Вологда,301642,"Вологда — город в России,    административный, культурный, транспортный и научный центр Вологодской области, центр Вологодского района, в который не входит, обладая статусом города областного значения[4] и образуя городской округ муниципальное образование «Город Вологда»[5]."
Тамбов,280457,"Тамбов — город в России, административный, экономический и культурный центр Тамбовской области, является также административным центром Тамбовского района, в который сам не входит, являясь административно-территориальной единицей городом областного значения, образующим одноимённое муниципальное образование городской округ город Тамбов[5]. Расположен в центральной части Окско-Донской равнины на канале реки Цны в 480 км к юго-востоку от Москвы."
Стерлитамак,273432,Председатель Стерлитамакского городского Совета
Грозный,271596,"Грозный (чеч. Соьлжа-ГӀала — назв. по реке Сунжа (чеч. Соьлжа) + гӀала «город») — город на Северном Кавказе, на юге России, столица Чеченской Республики, центр Грозненского района. Город республиканского значения, в состав района не входит, образуя городской округ город Грозный. Город расположен на обоих берегах реки Сунжи. Город воинской славы России (с 6 апреля 2015 года)."
Якутск,269486,"Якутск (якут. Дьокуускай) — город в Российской Федерации, столица Республики Саха (Якутия). Образует городской округ город Якутск."
Кострома,268617,"Кострома — город (с 1152) в России на реке Волге, административный центр Костромской области, речной порт. Население — 277 280[2] чел. (2018). Расположен в 344 км от Москвы. Площадь города составляет 144,5 км²."
Комсомольск-на-Амуре,263906,Комсомольск-на-Амуре — город в Хабаровском крае России. Административный центр Комсомольского муниципального района. Образует муниципальное образование город Комсомольск-на-Амуре со статусом городского округа как единственный населённый пункт в его составе.[5]
Петрозаводск,263540,"Петрозаводск (карел. , фин. и вепс. Petroskoi, Петроской; также вепс. Zavod, Завод) — город на северо-западе России, столица[7] Республики Карелия. Административный центр Прионежского района. Образует Петрозаводский городской округ. 6 апреля 2015 года присвоено почётное звание Российской Федерации «Город воинской славы»[8]."
Таганрог,257692,"Таганрог — город в Ростовской области, порт на берегу Азовского моря (на берегу Таганрогского залива, в 70 км от областного центра — Ростова-на-Дону), образует муниципальное образование «Город Таганрог» со статусом городского округа. Является самым западным городом области."
Нижневартовск,251860,"Нижневартовск — город в России, административный центр Нижневартовского района Ханты-Мансийского автономного округа — Югры. Город расположен на берегу Оби в непосредственной близости от Самотлорского нефтяного месторождения и является одним из крупнейших центров российской нефтяной промышленности."
Йошкар-Ола,248688,"Йошкар-Ола (луговомар. йошкар — красный, ола — город — Красный Город, устар. Царь-ола, Царла, Чарла[7]) — город в России, столица Республики Марий Эл. Административный центр городского округа «Город Йошкар-Ола»."
Братск,246348,Братск — город в Иркутской области России. Административный центр Братского района Иркутской области[2] (в состав муниципального района не входит). Образует городской округ город Братск.[3][4]
Новороссийск,241788,"Новороссийск — город на юге России в Краснодарском крае. Административный центр муниципального образования город Новороссийск. Расположен на юго-западе края, на побережье Цемесской (Новороссийской) бухты Чёрного моря."
